age,weekly_watch_hours,skip_rate,avg_rating_given,logins_per_week,subscription_type,content_diversity_score,days_since_last_login,notifications_clicked,watch_streak_days,engagement_level
54,101.23,0.42,3.8,1,Free,0.16,8,4,19,1
44,3.25,0.4,2.7,3,Basic,0.18,46,3,9,0
30,12.54,,4.4,3,Free,0.04,17,6,28,2
58,4.8,0.34,4.1,5,Premium,0.01,34,8,3,0
23,1.62,0.98,1.3,3,Free,0.49,59,4,11,0
36,15.45,0.87,3.5,4,Free,0.41,23,3,20,1
54,17.13,0.33,1.9,5,Basic,0.28,16,1,29,2
34,5.02,0.59,,5,Basic,0.99,0,1,14,1
38,0.63,0.85,4.8,5,Free,0.4,38,3,10,0
26,3.93,0.44,4.5,4,Premium,0.79,41,4,13,0
26,13.02,0.02,2.6,3,Basic,0.21,14,2,6,1
39,18.56,0.07,,5,Premium,0.25,54,2,23,2
51,1.82,0.51,1.9,6,Basic,0.57,12,1,29,1
55,0.55,0.97,3.1,8,Basic,0.0,22,2,13,0
39,16.79,0.69,,5,Free,0.02,28,0,25,1
18,3.95,,3.2,2,Basic,0.14,30,1,7,0
37,,0.19,1.0,0,Basic,0.22,36,3,13,0
17,27.55,0.77,2.3,3,Free,0.53,27,3,22,2
39,0.55,0.98,1.9,3,Free,0.69,31,4,5,0
59,8.36,,4.9,9,Basic,0.31,6,1,17,2
45,0.62,0.64,3.9,2,Free,0.24,13,3,13,0
53,3.77,0.03,2.4,5,Free,0.82,13,3,7,1
17,13.03,0.83,1.4,5,Free,0.16,31,3,3,0
36,4.55,,3.1,3,Free,0.68,8,2,23,1
48,46.97,0.26,1.9,1,Basic,0.93,53,5,11,2
27,6.55,0.71,3.1,4,Free,0.23,5,5,4,0
37,,0.21,4.3,3,Free,0.09,50,3,12,0
59,1.99,0.04,3.5,11,Free,0.98,14,5,18,2
40,3.45,0.2,3.5,3,Free,0.27,29,3,21,1
64,,0.18,3.2,4,Basic,0.28,29,6,11,1
42,0.57,0.34,4.7,2,Free,0.48,15,3,17,1
57,3.69,0.42,4.7,2,Free,0.23,22,8,5,0
43,4.99,0.51,3.1,5,Free,0.99,30,4,28,2
31,10.26,0.91,2.2,4,Premium,0.04,53,3,5,0
30,8.55,0.27,2.8,3,Free,0.45,11,0,16,1
62,9.87,0.03,1.7,4,Premium,0.55,20,2,25,2
59,0.07,0.61,3.5,4,Free,0.47,2,3,29,1
18,1.96,0.4,3.0,5,Basic,0.52,2,3,15,1
52,8.67,0.3,1.4,2,Free,0.99,37,4,11,1
22,5.29,0.87,1.8,7,Free,0.88,21,4,4,0
36,0.04,0.75,2.9,8,Basic,0.31,20,4,13,0
24,13.06,0.86,4.6,4,Basic,0.55,50,4,15,0
54,,,3.3,5,Free,0.0,43,3,4,0
33,6.36,0.13,3.7,1,Free,0.41,15,2,7,1
19,0.55,0.7,2.4,7,Free,0.16,17,2,6,0
40,11.64,0.21,3.3,3,Premium,0.71,3,3,24,2
29,7.01,0.44,2.8,6,Premium,0.22,19,1,26,1
24,12.18,0.07,3.6,2,Free,0.75,57,2,25,1
41,11.15,,1.2,5,Basic,0.31,44,1,12,0
17,,0.13,3.0,2,Free,0.93,12,4,2,2
35,5.84,0.9,2.2,4,Basic,0.45,30,2,13,0
43,1.21,0.86,2.3,6,Basic,0.84,1,1,16,0
62,8.9,,4.8,6,Free,0.63,29,2,29,2
22,7.75,0.74,1.7,6,Free,0.98,30,3,6,0
59,10.85,0.62,2.2,6,Premium,0.74,27,5,8,1
23,1.49,0.8,3.0,6,Premium,0.73,8,2,9,0
62,1.74,0.43,4.5,3,Basic,0.26,58,6,9,0
50,17.69,0.79,2.7,4,Free,0.5,10,2,22,2
29,11.09,0.46,4.0,4,Free,0.29,34,4,12,1
32,19.11,0.94,4.4,4,Basic,0.02,48,4,28,1
51,11.37,0.49,,2,Premium,0.71,43,1,9,0
55,7.27,0.46,2.6,4,Premium,0.24,36,3,22,1
19,8.49,0.79,2.4,4,Free,0.4,45,1,25,0
17,17.6,0.82,4.3,5,Basic,0.28,57,1,5,0
21,6.92,0.98,1.2,6,Basic,0.2,50,2,20,0
57,8.01,0.99,2.2,5,Free,0.07,53,3,13,0
19,1.36,0.47,3.7,4,Free,0.34,16,0,4,0
44,,0.97,3.3,7,Free,0.08,25,3,12,0
33,10.08,0.75,2.7,8,Basic,0.54,3,3,7,1
41,2.53,0.91,3.2,4,Premium,0.02,32,1,8,0
59,1.81,0.03,1.8,8,Premium,0.94,16,5,19,2
49,3.01,,2.7,6,Basic,0.97,41,5,9,0
25,2.21,0.97,3.0,9,Free,0.3,7,2,0,0
51,1.94,0.83,,8,Basic,0.26,25,1,4,0
29,4.43,0.05,2.0,1,Premium,0.1,42,1,19,0
46,19.07,0.85,4.5,3,Basic,0.9,19,1,3,1
63,5.66,0.96,3.6,7,Free,0.59,41,2,0,0
30,1.67,0.2,1.1,5,Premium,0.61,50,3,18,0
23,0.64,,3.9,1,Premium,0.9,37,4,18,0
29,9.53,0.28,1.1,8,Premium,0.91,42,1,23,1
38,3.86,0.53,5.0,2,Premium,0.83,47,4,28,1
55,,0.05,4.5,6,Free,0.77,41,3,21,2
36,,0.16,,1,Premium,0.88,56,2,21,1
31,,0.81,2.0,2,Basic,0.88,53,2,14,0
60,2.54,0.93,2.5,9,Free,0.37,32,3,10,0
33,9.43,0.23,2.4,4,Basic,0.97,39,1,21,1
62,2.45,,2.5,1,Free,0.71,16,2,23,1
39,22.38,0.52,,3,Free,0.37,50,2,4,1
41,8.09,0.76,3.5,3,Premium,0.44,8,1,2,0
40,,0.45,1.7,2,Free,0.69,19,3,16,0
60,2.51,0.97,4.4,2,Premium,0.36,7,4,15,0
56,,0.62,4.2,5,Free,0.83,40,3,27,1
44,,0.11,2.9,7,Free,0.15,47,6,7,1
30,1.97,0.16,4.4,6,Free,0.91,45,6,25,1
60,7.24,0.44,2.0,4,Basic,0.3,55,5,19,0
16,2.46,0.4,1.1,7,Free,0.15,5,0,2,0
40,8.68,0.74,3.5,9,Premium,0.86,8,1,11,1
22,13.5,0.58,2.8,3,Basic,0.24,10,1,7,1
24,12.04,0.39,3.3,4,Basic,0.84,53,2,14,1
39,,0.17,4.6,2,Free,0.3,46,4,10,1
16,1.66,0.23,4.9,2,Free,0.93,46,3,12,0
59,0.74,0.58,3.5,9,Premium,0.22,4,3,25,1
23,9.6,0.42,4.1,6,Free,0.07,7,3,22,2
39,3.68,0.51,1.3,10,Free,0.94,51,1,7,0
26,4.53,0.17,1.6,4,Free,0.17,34,1,12,0
32,0.25,0.86,3.9,5,Premium,0.94,51,4,15,0
23,2.4,0.85,2.7,3,Free,0.82,59,2,17,0
50,0.27,0.26,2.8,3,Free,0.08,24,2,15,0
50,16.91,0.49,2.2,3,Basic,0.45,35,1,12,1
48,2.23,0.98,3.4,4,Premium,0.07,38,4,13,0
20,,0.33,1.7,3,Free,0.33,48,3,7,0
57,,0.85,3.5,0,Free,0.35,43,0,28,0
54,,0.09,1.7,5,Free,0.6,5,4,19,2
56,3.12,0.61,1.3,4,Free,0.98,23,2,1,0
43,18.26,0.09,2.3,6,Free,0.17,54,3,19,2
22,17.52,0.96,1.9,5,Free,0.33,20,1,7,1
24,,0.72,4.6,5,Basic,0.59,35,2,28,1
23,18.5,0.79,1.2,7,Free,0.17,17,5,27,2
27,44.49,0.7,1.7,4,Free,0.71,47,2,26,2
49,13.96,0.59,3.2,4,Premium,0.4,0,6,5,2
48,14.91,0.45,2.9,5,Free,0.95,28,2,12,2
63,2.29,0.91,1.2,3,Free,0.63,16,4,2,0
38,6.88,0.96,1.0,3,Free,0.36,4,5,6,0
39,0.56,,,4,Basic,0.72,56,0,5,0
52,0.8,0.93,3.6,6,Basic,0.84,54,3,4,0
50,,0.58,2.5,6,Premium,0.8,49,3,26,2
59,3.16,0.54,2.9,3,Basic,0.26,5,3,15,0
55,,0.45,2.1,1,Premium,0.42,57,3,21,0
37,13.15,0.21,2.4,5,Basic,0.45,54,2,2,0
42,15.62,0.0,3.6,5,Free,0.39,44,0,4,1
50,48.35,0.24,4.5,5,Free,0.31,7,7,2,2
16,,0.51,1.7,3,Basic,0.75,58,1,14,0
50,0.33,0.89,4.4,1,Premium,0.01,24,2,1,0
52,4.24,0.93,1.5,4,Free,0.29,18,1,14,0
62,1.11,0.98,1.9,4,Free,0.14,59,1,26,0
29,0.18,,,1,Premium,0.13,47,2,12,0
18,3.58,0.45,1.6,5,Free,0.28,49,5,29,0
16,12.25,,4.7,3,Basic,0.76,38,6,1,1
20,6.68,0.05,2.8,0,Free,0.97,55,5,17,1
41,3.0,0.87,1.3,1,Free,0.51,8,4,9,0
29,8.5,0.57,4.8,2,Free,0.34,57,2,3,0
54,2.11,0.76,4.5,4,Basic,0.83,27,4,1,0
42,0.12,0.15,4.0,3,Free,0.07,52,3,29,0
24,,0.57,4.7,0,Basic,0.09,56,1,19,0
30,7.82,0.25,1.9,6,Free,0.35,30,4,29,2
30,11.49,,4.3,2,Basic,0.45,0,2,24,2
41,0.32,0.01,3.8,4,Free,0.8,40,5,13,1
57,14.52,0.13,4.5,2,Basic,0.93,9,1,2,2
28,7.73,0.31,4.2,3,Premium,0.53,52,2,11,0
47,6.63,0.12,2.4,6,Free,0.5,49,4,4,0
54,7.84,0.99,4.1,5,Free,0.21,21,6,1,0
64,15.99,0.31,2.0,1,Premium,0.45,0,1,13,2
47,7.07,0.13,2.3,2,Free,0.92,12,1,28,2
19,6.96,0.2,,3,Free,0.39,13,2,22,1
45,37.4,0.59,,4,Free,0.21,22,5,25,2
52,11.31,0.06,,7,Premium,0.34,38,2,29,2
38,4.67,0.86,3.1,4,Premium,0.51,27,0,4,0
54,9.83,0.96,2.6,2,Free,0.6,28,5,6,0
60,,0.25,4.8,3,Basic,0.43,57,3,14,0
30,2.08,0.45,2.3,5,Premium,0.76,39,1,18,0
58,7.27,0.02,4.1,2,Free,0.58,32,5,21,2
44,21.07,0.64,4.4,6,Free,0.67,1,2,18,2
51,21.18,0.41,2.7,3,Free,0.86,42,4,16,2
28,3.35,0.95,2.5,2,Free,0.87,32,1,15,0
47,6.0,0.21,4.0,7,Basic,0.2,23,2,7,1
22,1.9,0.65,4.7,4,Free,0.62,11,4,12,1
37,43.47,0.42,4.0,2,Basic,0.72,39,5,24,2
43,31.76,0.18,1.9,7,Free,0.15,27,3,20,2
17,8.39,0.69,4.6,5,Basic,0.84,34,3,10,1
57,,0.57,2.6,3,Basic,0.18,9,2,0,0
